SATELLITE                ,  earth-resource, education, engineering, geodetic, goes, science, space-stations, tdrss, weather
AAU CUBESAT              ,                ,          ,            ,         ,     , science,               ,      ,        ,
ABRIXAS                  ,                ,          ,            ,         ,     , science,               ,      ,        ,
ACRIMSAT                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
AGILE                    ,                ,          ,            ,         ,     , science,               ,      ,        ,
AIM                      ,                ,          ,            ,         ,     , science,               , tdrss,        ,
AJISAI (EGS)             ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
AKARI (ASTRO-F)          ,                ,          ,            ,         ,     , science,               ,      ,        ,
AKEBONO (EXOS-D)         ,                ,          ,            ,         ,     , science,               ,      ,        ,
ALMASAT-1                ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
ALOS (DAICHI)            ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
ALOUETTE 1 (S-27)        ,                ,          ,            ,         ,     , science,               ,      ,        ,
ALSAT 1                  ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
APRIZESAT 3              ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
APRIZESAT 4              ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
APRIZESAT 5              ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
APRIZESAT 6              ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
AQUA                     ,  earth-resource,          ,            ,         ,     ,        ,               , tdrss,        ,
ARIRANG 1 (KOMPSAT-1)    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
ARIRANG 2 (KOMPSAT-2)    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
ARIRANG 3 (KOMPSAT-3)    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
ASTRID 2                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
ATS 1                    ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
ATS 3                    ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
AURA                     ,  earth-resource,          ,            ,         ,     ,        ,               , tdrss,        ,
BADR-B                   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
BIRD 2                   ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
C/NOFS                   ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
CALIPSO                  ,                ,          ,            ,         ,     , science,               ,      ,        ,
CANX-1                   ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
CARTOSAT 2B              ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
CARTOSAT-2 (IRS-P7)      ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
CARTOSAT-2A              ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
CBERS 1 (ZY 1A)          ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
CBERS 2 (ZY 1B)          ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
CBERS 2B                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
CHIPSAT                  ,                ,          ,            ,         ,     , science,               ,      ,        ,
CLEMENTINE               ,                ,          ,            ,         ,     , science,               ,      ,        ,
CLOUDSAT                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
CLUSTER II-FM5 (RUMBA)   ,                ,          ,            ,         ,     , science,               ,      ,        ,
CLUSTER II-FM6 (SALSA)   ,                ,          ,            ,         ,     , science,               ,      ,        ,
CLUSTER II-FM7 (SAMBA)   ,                ,          ,            ,         ,     , science,               ,      ,        ,
CLUSTER II-FM8 (TANGO)   ,                ,          ,            ,         ,     , science,               ,      ,        ,
COBE                     ,                ,          ,            ,         ,     , science,               ,      ,        ,
COMS 1                   ,                ,          ,            ,         ,     ,        ,               ,      , weather,
CORIOLIS                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
COROT                    ,                ,          ,            ,         ,     , science,               ,      ,        ,
COSMO-SKYMED 1           ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
COSMO-SKYMED 2           ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
COSMO-SKYMED 3           ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
COSMO-SKYMED 4           ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
CRRES                    ,                ,          ,            ,         ,     , science,               ,      ,        ,
CRYOSAT 2                ,                ,          ,            ,         ,     , science,               ,      ,        ,
CUBESAT XI-IV (CO-57)    ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
CUTE-1 (CO-55)           ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
CXO                      ,                ,          ,            ,         ,     , science,               ,      ,        ,
DEIMOS-1                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
DEMETER                  ,                ,          ,            ,         ,     , science,               ,      ,        ,
DLR-TUBSAT               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
DOUBLESTAR TC-2          ,                ,          ,            ,         ,     , science,               ,      ,        ,
DRAGON CRS-1             ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
ELEKTRO-L 1 (GOMS 2)     ,                ,          ,            ,         ,     ,        ,               ,      , weather,
EO-1                     ,  earth-resource,          ,            ,         ,     ,        ,               , tdrss,        ,
ERBS                     ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
EROS A1                  ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
EROS B                   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
ERS-2                    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
F-1                      ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
FALCONSAT                ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
FALCONSAT-3              ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
FASAT B                  ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
FAST                     ,                ,          ,            ,         ,     , science,               ,      ,        ,
FEDSAT                   ,                ,          ,            ,         ,     , science,               ,      ,        ,
FENGYUN 1D               ,                ,          ,            ,         ,     ,        ,               ,      , weather,
FENGYUN 2C               ,                ,          ,            ,         ,     ,        ,               ,      , weather,
FENGYUN 2D               ,                ,          ,            ,         ,     ,        ,               ,      , weather,
FENGYUN 2F               ,                ,          ,            ,         ,     ,        ,               ,      , weather,
FENGYUN 3A               ,                ,          ,            ,         ,     ,        ,               ,      , weather,
FENGYUN 3B               ,                ,          ,            ,         ,     ,        ,               ,      , weather,
FGRST (GLAST)            ,                ,          ,            ,         ,     , science,               , tdrss,        ,
FITSAT-1 (NIWAKA)        ,                ,          ,            ,         ,     ,        , space-stations,      ,        ,
FORMOSAT-2 (ROCSAT 2)    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
FORMOSAT-3 FM1           ,                ,          ,            ,         ,     , science,               ,      , weather,
FORMOSAT-3 FM2           ,                ,          ,            ,         ,     , science,               ,      , weather,
FORMOSAT-3 FM3           ,                ,          ,            ,         ,     , science,               ,      , weather,
FORMOSAT-3 FM4           ,                ,          ,            ,         ,     , science,               ,      , weather,
FORMOSAT-3 FM5           ,                ,          ,            ,         ,     , science,               ,      , weather,
FORMOSAT-3 FM6           ,                ,          ,            ,         ,     , science,               ,      , weather,
FUSE 1                   ,                ,          ,            ,         ,     , science,               , tdrss,        ,
GALEX                    ,                ,          ,            ,         ,     , science,               , tdrss,        ,
GCOM-W1 (SHIZUKU)        ,                ,          ,            ,         ,     , science,               ,      ,        ,
GENESIS 1                ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
GENESIS 2                ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
GEOEYE 1                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
GOCE                     ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
GOES 1 [-]               ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 10 [-]              ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 11 [+]              ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 12                  ,                ,          ,            ,         ,     ,        ,               ,      , weather,
GOES 12 [B]              ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 13                  ,                ,          ,            ,         ,     ,        ,               ,      , weather,
GOES 13 [+]              ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 14                  ,                ,          ,            ,         ,     ,        ,               ,      , weather,
GOES 14 [S]              ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 15                  ,                ,          ,            ,         ,     ,        ,               ,      , weather,
GOES 15 [S]              ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 2 [-]               ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 3 [P]               ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 4 [-]               ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 5 [-]               ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 6 [-]               ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 7 [-]               ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 8 [-]               ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOES 9 [P]               ,                ,          ,            ,         , goes,        ,               ,      ,        ,
GOSAT (IBUKI)            ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
GP-B                     ,                ,          ,            ,         ,     , science,               , tdrss,        ,
GRACE-1                  ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
GRACE-2                  ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
HAIYANG-1A               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
HAIYANG-1B               ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
HETE-2                   ,                ,          ,            ,         ,     , science,               ,      ,        ,
HIMAWARI-6 (MTSAT-1R)    ,                ,          ,            ,         ,     ,        ,               ,      , weather,
HINODE (SOLAR-B)         ,                ,          ,            ,         ,     , science,               ,      ,        ,
HJ-1A                    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
HJ-1B                    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
HST                      ,                ,          ,            ,         ,     , science,               , tdrss,        ,
IKONOS 2                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
IMAGE                    ,                ,          ,            ,         ,     , science,               ,      ,        ,
IMS-1                    ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
INSAT-3A                 ,                ,          ,            ,         ,     ,        ,               ,      , weather,
INTEGRAL                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
INTERCOSMOS 24           ,                ,          ,            ,         ,     , science,               ,      ,        ,
IRAS                     ,                ,          ,            ,         ,     , science,               ,      ,        ,
IRS-1D                   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
IRS-P4 (OCEANSAT 1)      ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
IRS-P5 (CARTOSAT-1)      ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
IRS-P6 (RESOURCESAT-1)   ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
ISS (ZARYA)              ,                ,          ,            ,         ,     ,        , space-stations, tdrss,        ,
IUE                      ,                ,          ,            ,         ,     , science,               ,      ,        ,
JASON 1                  ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
JASON 2 (OSTM)           ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
KALPANA-1 (METSAT 1)     ,                ,          ,            ,         ,     ,        ,               ,      , weather,
KIKU-7 (ETS-VII)         ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
KITSAT 3                 ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
KORONAS-FOTON            ,                ,          ,            ,         ,     , science,               ,      ,        ,
LAGEOS 1                 ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
LAGEOS 2                 ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
LANDSAT 4                ,                ,          ,            ,         ,     ,        ,               , tdrss,        ,
LANDSAT 5                ,  earth-resource,          ,            ,         ,     ,        ,               , tdrss,        ,
LANDSAT 7                ,  earth-resource,          ,            ,         ,     ,        ,               , tdrss,        ,
LAPAN-TUBSAT             ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
LARES                    ,                ,          ,            , geodetic,     ,        ,               ,      ,        ,
MAQSAT B                 ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
MAQSAT H                 ,                ,          , engineering,         ,     ,        ,               ,      ,        ,
MAROC-TUBSAT             ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
MEGHA-TROPIQUES          ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
MEGSAT-1                 ,                ,          ,            ,         ,     , science,               ,      ,        ,
METEOR-3M                ,  earth-resource,          ,            ,         ,     ,        ,               ,      ,        ,
METEOR-M 1               ,                ,          ,            ,         ,     ,        ,               ,      , weather,
METEOSAT-7               ,                ,          ,            ,         ,     ,        ,               ,      , weather,
