Division,TLE,Name,NORAD,COSPAR,Nonoperational,Comments
Heliophysics,ACE,ACE,24912,1997-045A,,
Earth,ACRIMSAT,ACRIMSAT,26033,1999-070B,,
Earth,ADEOS,ADEOS,24277,1996-046A,past,
Heliophysics,AIM,AIM,31304,2007-015A,,
Earth,AirMOSS,AirMOSS,,,plane,
Earth,Aqua,Aqua,27424,2002-022A,,
Earth,Aquarius,Aquarius,37673,2011-024A,,instrument on SAC-D
Astrophysics,ASCA,ASCA,22521,1993-011A,decayed,ASTRO D
Astrophysics,Astro Observatory (ASTRO 1 & 2),Astro Observatory (ASTRO 1 & 2),,,shuttle payload,
Astrophysics,Astro-H,Astro-H,,,development,
Earth,ATLAS,ATLAS,,,shuttle payload,
Earth,ATS,ATS,2608,1966-110A,past,ATS 1: ATS 1-5
Earth,ATTREX,ATTREX,,,plane,
Earth,Aura,Aura,28376,2004-026A,,
Heliophysics,BARREL,BARREL,,,development,
Astrophysics,BBXRT,BBXRT,,,shuttle payload,
Earth,CALIPSO,CALIPSO,29108,2006-016B,,
Earth,CARVE,CARVE,,,plane,
Planetary,Cassini,Cassini,25008,1997-061A,,
Astrophysics,CGRO,CGRO,21225,1991-027B,decayed,
Earth,CHAMP,CHAMP,26405,2000-039B,decayed,
Astrophysics,Chandra,Chandra,25867,1999-040B,,
Planetary,Chandrayaan-1 (M3),Chandrayaan-1 (M3),33405,2008-052A,past,
Astrophysics,CHIPS,CHIPS,27643,2003-002B,past,
Heliophysics,CINDI/CNOFS,CINDI/CNOFS,32765,2008-017A,,
Earth,CLARREO,CLARREO,,,under study,
Planetary,Clementine,Clementine,25978,1999-064B,past,
Earth,CloudSat,CloudSat,29107,2006-016A,,
Heliophysics,Cluster-II,Cluster-II,26463,2000-045A,,"Cluster 2/FM5 (Rumba): rumba, salsa, samba, tango"
Astrophysics,COBE,COBE,20322,1989-089A,past,
Planetary,CONTOUR,CONTOUR,27457,2002-034A,past,
Earth,CRRES,CRRES,20712,1990-065A,past,
Planetary,Dawn,Dawn,32249,2007-043A,,
Planetary,Deep Impact,Deep Impact,28517,2005-001A,past,
Planetary,Deep Space 1,Deep Space 1,25508,1998-061A,past,
Earth,DESDynI,DESDynI,,,under study,
Earth,DISCOVER-AQ,DISCOVER-AQ,,,plane,
Astrophysics,DXS,DXS,,,shuttle payload,
Earth,Dynamics Explorer,Dynamics Explorer,12624,1981-070A,past,"dynamics explorer 1: 1, 2"
Earth,Earth Observing-1 (NMP),Earth Observing-1 (NMP),26619,2000-075A,,
Planetary,Epoxi,Epoxi,28517,2005-001A,,
Heliophysics,Equator-S,Equator-S,25068,1997-075B,past,
Earth,ERBS,ERBS,15354,1984-108B,,
Earth,ERS,ERS,23560,1995-021A,past,ERS-2: 1962.09.17 (TRS) to 1967.04.28.Ì_+E43+G43+F40+F40+F40+G40+G40+G45
Earth,ESSA,ESSA,3764,1969-016A,past,
Astrophysics,EUVE,EUVE,21987,1992-031A,decayed,
Planetary,ExoMars Trace Gas Orbiter,ExoMars Trace Gas Orbiter,,,past,not pursued with ESA
Heliophysics,FAST,FAST,24285,1996-049A,past,
Astrophysics,Fermi,Fermi,33053,2008-029A,,
Astrophysics,FUSE,FUSE,25791,1999-035A,past,
Astrophysics,GALEX,GALEX,27783,2003-017A,past,
Planetary,Galileo,Galileo,20298,1989-084B,decayed,
Astrophysics,GEMS,GEMS,,,studied,
Planetary,Genesis,Genesis,26884,2001-034A,past,
Earth,Geosat,Geosat,15595,1985-021A,past,
Heliophysics,Geotail,Geotail,22049,1992-044A,,
Earth,GOES A - C,GOES A - C,8366,1975-100A,past,GOES-1: 1-3
Earth,GOES D - H,GOES D - H,11964,1980-074A,past,GOES 4: 4-7
Earth,GOES I - M,GOES I - M,23051,1994-022A,,GOES 8: 8-12
